"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","Wave","waveDay","beepvar3","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp","SID2"
10450,36,1,1,0,1,4,3,5,1,2,3,4,1,"4","4.1",1,1.46621621621622,3.7972972972973,3.08108108108108,3.66216216216216,1.2972972972973,1.97297297297297,1.73648648648649,3.83783783783784,2.68918918918919,10450
10450,36,1,1,1,1,5,3,4,1,2,2,3,2,"4","4.1",2,1.46621621621622,3.7972972972973,3.08108108108108,3.66216216216216,1.2972972972973,1.97297297297297,1.73648648648649,3.83783783783784,2.68918918918919,10450
10454,13,1,1,0,1.25,5,1,3,1,1,4.16666666666667,4,4,"4","4.1",1,1.25,4.3125,1.875,3.0625,1.5,1.875,4.16666666666667,3.5,2.875,10454
10454,13,1,1,1,1,4,5,3,1,3,5,2,4,"4","4.1",2,1.25,4.3125,1.875,3.0625,1.5,1.875,4.16666666666667,3.5,2.875,10454
10455,2,1,1,1,1,3,3,2,4,3,4,2,4,"4","4.1",1,1.66666666666667,3.5,3.5,3,3,3,3.33333333333333,3.75,2.25,10455
10459,55,1,1,0,1,2,2,3,1,3,3,4,2,"4","4.1",1,1.90123456790123,3.14285714285714,2.7032967032967,2.64835164835165,1.7032967032967,2.34065934065934,3.65432098765432,3,3.01098901098901,10459
10471,9,1,1,0,1,1,3,5,2,5,3,4,2,"4","4.1",1,2,3.57142857142857,2.92857142857143,3.71428571428571,2.14285714285714,2.5,2.9,3.28571428571429,2.28571428571429,10471
10471,9,1,1,1,2,3,3,4,1,3,3,4,2,"4","4.1",2,2,3.57142857142857,2.92857142857143,3.71428571428571,2.14285714285714,2.5,2.9,3.28571428571429,2.28571428571429,10471
10476,12,1,1,0,1,3,3,4,1,3,4,4,2,"4","4.1",1,1.44444444444444,3.83333333333333,2.83333333333333,3.25,1.16666666666667,2.58333333333333,3.22222222222222,3.75,2.5,10476
10479,25,1,1,1,1,3,2,3,1,4,3,4,2,"4","4.1",1,1.63636363636364,3,3.24,3.24,1.12,2.6,2.90909090909091,3.6,2.44,10479
10481,6,1,1,1,1,2,2,4,1,3,3,4,2,"4","4.1",1,1,3.83333333333333,2.66666666666667,3.5,1.33333333333333,2.16666666666667,2.8,3.16666666666667,2.16666666666667,10481
10485,2,1,1,1,1,3,1,4,1,5,2,5,3,"4","4.1",1,1.75,2.375,2.5,3.875,1.25,4.5,3.625,4.375,2.125,10485
10486,41,1,1,0,1,4,1,4,1,3,3,3,2,"4","4.1",1,1.70967741935484,3.26829268292683,2.65853658536585,3.60975609756098,1.34146341463415,2.97560975609756,3.45161290322581,3.51219512195122,2.19512195121951,10486
10486,41,1,1,1,2,2,2,4,1,3,4,3,2,"4","4.1",2,1.70967741935484,3.26829268292683,2.65853658536585,3.60975609756098,1.34146341463415,2.97560975609756,3.45161290322581,3.51219512195122,2.19512195121951,10486
10493,32,1,1,0,1,3,1,2,4,3,3,5,4,"4","4.1",1,1.36363636363636,3.58974358974359,2.8974358974359,3.28205128205128,2.51282051282051,2.84615384615385,3.72727272727273,4.64102564102564,2.53846153846154,10493
10493,32,1,1,1,2,4,1,3,3,1,3,5,3,"4","4.1",2,1.36363636363636,3.58974358974359,2.8974358974359,3.28205128205128,2.51282051282051,2.84615384615385,3.72727272727273,4.64102564102564,2.53846153846154,10493
10494,9,1,1,1,1,1,1,2,1,5,5,5,2,"4","4.1",1,1.16,3.27272727272727,1.51515151515152,3.27272727272727,1.75757575757576,2.51515151515152,3.72,3.36363636363636,2.66666666666667,10494
10497,11,1,1,1,2,4,2,4,2,5,4,5,2,"4","4.1",1,2.2,3.72727272727273,2.54545454545455,2.63636363636364,2.36363636363636,2.63636363636364,3.2,3.63636363636364,3,10497
10530,51,1,1,1,2,3,2,3,1,5,3,5,3,"4","4.1",1,1.51063829787234,3.35294117647059,2.25490196078431,3.35294117647059,1.3921568627451,2.92156862745098,2.34042553191489,4.11764705882353,2.11764705882353,10530
10536,16,1,1,1,1.75,5,4,5,2,2,3.5,4,2,"4","4.1",1,1.75,3.625,3.25,3,1.1875,2.5,3.5,3,1.25,10536
10538,3,1,1,1,1,1,1,4,2,4,4,4,1,"4","4.1",1,1,2.66666666666667,1.66666666666667,3.66666666666667,1.66666666666667,3.33333333333333,4,4.66666666666667,1.66666666666667,10538
10542,20,1,1,0,1,2,1,4,1,1,3,5,1,"4","4.1",1,1.23076923076923,3.85294117647059,1.52941176470588,3.70588235294118,1.17647058823529,2.20588235294118,2.61538461538462,3.85294117647059,1.97058823529412,10542
10542,20,1,1,1,1,5,1,4,1,4,4,5,1,"4","4.1",2,1.23076923076923,3.85294117647059,1.52941176470588,3.70588235294118,1.17647058823529,2.20588235294118,2.61538461538462,3.85294117647059,1.97058823529412,10542
10543,2,1,1,1,2.09756097560976,4,4,4,1,1,2.8780487804878,2,3,"4","4.1",1,2.09756097560976,3.11111111111111,2.73333333333333,3.6,1.06666666666667,2.77777777777778,2.8780487804878,3.08888888888889,2.24444444444444,10543
10545,7,1,1,1,1,2,2,5,2,4,4,4,1,"4","4.1",1,1.125,3.20833333333333,2.91666666666667,2.91666666666667,1.9375,1.64583333333333,2.9375,1.75,2.10416666666667,10545
10547,52,1,1,0,1,2,1,5,1,5,5,3,2,"4","4.1",1,1.53846153846154,2.73076923076923,1.92307692307692,2.82692307692308,1.03846153846154,3.03846153846154,4.25641025641026,4.40384615384615,1.59615384615385,10547
423393,1,1,1,1,1,3,2,4,1,5,4,4,2,"4","4.1",1,1,3,2,4,1,5,4,4,2,423393
425363,1,1,1,1,1,4,1,2,4,1,2,3,4,"4","4.1",1,1,4,1,2,4,1,2,3,4,425363
431092,1,1,1,1,3,4,3,2,3,2,2,2,4,"4","4.1",1,3,4,3,2,3,2,2,2,4,431092
431699,1,1,1,1,1,1,1,5,1,3,5,5,1,"4","4.1",1,1,1,1,5,1,3,5,5,1,431699
4,2,2,1,2,1,1,3,5,1,5,3,4,1,"4","4.1",1,1.5,2,3.5,4,1.5,4,3,3.5,2,4
8,44,2,1,2,1,1,1,1,3,2,3,5,3,"4","4.1",3,1.31428571428571,3.45454545454545,1.63636363636364,2.86363636363636,2.31818181818182,2.43181818181818,2.88571428571429,4.11363636363636,2.68181818181818,8
17,170,2,1,2,2,1,1,4,1,4,3,5,2,"4","4.1",1,1.39189189189189,3.18716577540107,2.43850267379679,3.37433155080214,1.24598930481283,3.06417112299465,2.84459459459459,3.97326203208556,1.9144385026738,17
19,27,2,1,2,2,2,2,4,2,4,4,4,2,"4","4.1",2,1.93103448275862,3.68571428571429,2.6,3.62857142857143,2.11428571428571,2.4,3.37931034482759,3.48571428571429,2.11428571428571,19
36,1,2,1,2,1,1,1,5,1,5,3,5,1,"4","4.1",1,1.2,3.86666666666667,2.33333333333333,2.4,2,2.13333333333333,2.5,3.13333333333333,2.46666666666667,36
44,5,2,1,2,1,5,1,4,1,2,3,4,1,"4","4.1",1,1.2,4,2.2,3.4,2.2,2.6,3.2,3.8,3.4,44
46,27,2,1,2,1,2,2,4,1,4,4,4,2,"4","4.1",1,1.14285714285714,3.55555555555556,2.16666666666667,3.33333333333333,1.30555555555556,2.88888888888889,4.53571428571429,4,2.33333333333333,46
51,55,2,1,2,2,2,1,5,1,4,5,5,2,"4","4.1",1,1.40540540540541,3.79268292682927,1.85365853658537,3.82926829268293,1.29268292682927,2.31707317073171,4.41891891891892,3.96341463414634,2.13414634146341,51
52,40,2,1,2,1,4,4,3,2,3,3,3,3,"4","4.1",2,2.02083333333333,3.08,2.5,3.4,1.96,2.96,3.41666666666667,3.52,2.54,52
61,90,2,1,2,2,2,3,4,4,4,4,4,2,"4","4.1",1,1.34831460674157,2.97345132743363,2.95575221238938,2.84955752212389,1.36283185840708,2.66371681415929,3.40449438202247,2.98230088495575,2.0353982300885,61
68,25,2,1,2,1,3,1,3,1,3,4,4,2,"4","4.1",1,1,2.64,1.68,3.4,1.44,2.8,4.1,3.88,1.84,68
79,1,2,1,2,1,4,2,3,1,1,1,5,4,"4","4.1",1,1,4,2,3,1,1,1,5,4,79
88,23,2,1,2,1,2,2,2,2,2,3,4,2,"4","4.1",1,2.04347826086957,2.73913043478261,2.1304347826087,2.95652173913043,1.73913043478261,3.30434782608696,3.52173913043478,3.30434782608696,2.91304347826087,88
89,59,2,1,2,1,4,2,4,2,4,4,4,2,"4","4.1",2,2.06634182908546,2.87931034482759,2.96551724137931,3.51724137931034,1.74137931034483,3.18965517241379,3.77886056971514,3.58620689655172,2.32758620689655,89
91,44,2,1,2,1,3,1,3,1,3,3,3,2,"4","4.1",3,1.95454545454545,3.46575342465753,2.02739726027397,3.93150684931507,1.04109589041096,3.02739726027397,3.078125,3.9041095890411,1.41095890410959,91
92,16,2,1,2,1,5,3,5,1,1,1,5,3,"4","4.1",1,1.41666666666667,3.8125,2.4375,3.1875,1.3125,1.5625,3,3.9375,2.5,92
94,8,2,1,2,1,2,1,4,1,3,3,4,1,"4","4.1",3,1.3,3,1.25,3.25,1.25,3.25,3.1,3.91666666666667,1.58333333333333,94
102,14,2,1,2,1,3,2,3,1,3,3,3,4,"4","4.1",1,2,3.2,3,3.13333333333333,1.4,2.53333333333333,2.76923076923077,3.4,2.86666666666667,102
1049,1,2,1,2,1,2,3,4,1,4,3,4,2,"4","4.1",1,1,2,3,4,1,4,3,4,2,1049
10107,15,2,1,2,1,3,2,3,2,4,4,4,3,"4","4.1",1,1.53125,3.375,2,3.625,1.375,3.08333333333333,3.63541666666667,3.95833333333333,2.16666666666667,10107
10111,56,2,1,2,1,2,2,3,3,3,3,4,2,"4","4.1",1,1.05263157894737,3.61538461538462,2.6025641025641,3.64102564102564,1.14102564102564,2.57692307692308,3.36842105263158,3.88461538461538,2.33333333333333,10111
10118,8,2,1,2,2,4,1,2,2,2,3,4,4,"4","4.1",1,1.75,3.5,2.75,2.66666666666667,2.33333333333333,2.25,3.375,4,3,10118
10121,20,2,1,2,1,3,1,3,1,3,4,4,2,"4","4.1",1,1.37857142857143,3.35714285714286,2.21428571428571,3.03571428571429,1.35714285714286,2.53571428571429,3.20714285714286,3.78571428571429,1.89285714285714,10121
10122,6,2,1,2,2,3,3,4,2,5,3,4,3,"4","4.1",1,1.33333333333333,4.33333333333333,3.66666666666667,4.16666666666667,1.83333333333333,2,3,3.33333333333333,3,10122
10124,37,2,1,2,1,2,1,2,1,3,4,5,3,"4","4.1",1,1.22222222222222,2.84782608695652,2.08695652173913,3.23913043478261,1.39130434782609,3.06521739130435,3.5,3.73913043478261,2.1304347826087,10124
10127,8,2,1,2,2,5,1,5,1,5,4,4,2,"4","4.1",1,1.75,3.625,2.625,3.75,1.625,3,3,3.875,2.25,10127
10132,31,2,1,2,1,4,2,2,1,3,4,5,4,"4","4.1",1,1.12820512820513,2.97826086956522,2.08695652173913,3.97826086956522,1.23913043478261,2.73913043478261,3.58974358974359,4.02173913043478,2.91304347826087,10132
10133,11,2,1,2,1,2,1,5,2,4,4,4,2,"4","4.1",1,1,3.72727272727273,2.63636363636364,4.27272727272727,1.27272727272727,2.36363636363636,3.44444444444444,2.81818181818182,1.54545454545455,10133
10136,30,2,1,2,1,3,4,4,2,2,4,4,2,"4","4.1",1,1.70588235294118,3.76595744680851,2.91489361702128,3.1063829787234,2.36170212765957,2.27659574468085,3.97058823529412,3.65957446808511,1.97872340425532,10136
10139,34,2,1,2,1,3,1,2,1,3,3,3,3,"4","4.1",1,1.13793103448276,3.02631578947368,2.21052631578947,3,1.84210526315789,3.18421052631579,3.44827586206897,3.28947368421053,3.36842105263158,10139
10141,25,2,1,2,1,3,2,4,2,4,3,4,1,"4","4.1",1,1.04761904761905,3.36,1.96,3.6,1.52,3.56,3.95238095238095,4.6,1.36,10141
10143,23,2,1,2,1,5,1,3,1,2,1,3,3,"4","4.1",2,2.20689655172414,3.73529411764706,2.73529411764706,3.5,2.23529411764706,2.67647058823529,2.86206896551724,3.14705882352941,3.11764705882353,10143
10149,33,2,1,2,2,1,2,5,3,4,4,5,1,"4","4.1",1,1.50109569028488,2.72972972972973,2.08108108108108,2.91891891891892,1.48648648648649,2.91891891891892,3.5799853907962,3.64864864864865,2.21621621621622,10149
10155,25,2,1,2,3,3,2,5,1,4,4,3,1,"4","4.1",1,1.8,4.14814814814815,3.03703703703704,3.74074074074074,1.40740740740741,2.44444444444444,3.35,3.44444444444444,1.81481481481481,10155
