"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","beepvar3","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp","SID2"
10188,46,1,1,1,1,4,3,2,3,2,3,4,3,1,1.51219512195122,3.21739130434783,2.67391304347826,2.93478260869565,2.41304347826087,2.78260869565217,3.34146341463415,3.6304347826087,2.69565217391304,10188
10167,16,1,1,1,1,4,2,5,2,3,4,4,1,1,1.21333333333333,3.2,2.2,3.46666666666667,1.8,3.53333333333333,3.78666666666667,3.6,2.26666666666667,10167
10153,54,1,1,1,1,3,2,4,4,4,3,4,2,1,1.11428571428571,3.85185185185185,2.38888888888889,3.46296296296296,2.77777777777778,1.77777777777778,3.22857142857143,3.72222222222222,2.46296296296296,10153
10160,27,1,1,1,1,5,4,4,2,2,4,4,1,1,1.88461538461538,2.92592592592593,3.25925925925926,3.25925925925926,2.03703703703704,3.03703703703704,3.19230769230769,3.07407407407407,2.55555555555556,10160
10148,19,1,1,1,1,4,1,2,1,3,4,5,1,1,1,3.57894736842105,2.63157894736842,4,1.47368421052632,2.42105263157895,3.33333333333333,3.63157894736842,1.47368421052632,10148
10139,21,1,1,1,1,3,2,2,1,4,3,4,2,1,1,1.95238095238095,1.57142857142857,3.23809523809524,1,3.47619047619048,3.42857142857143,3.80952380952381,2.66666666666667,10139
10144,38,1,1,1,2,3,1,3,1,5,3,5,3,1,2.08823529411765,3.07894736842105,2.07894736842105,3.31578947368421,1.28947368421053,2.89473684210526,3.11764705882353,4.31578947368421,2.31578947368421,10144
10143,46,1,1,1,1,4,3,4,2,3,4,2,2,1,2.025,3.58695652173913,2.78260869565217,3.47826086956522,2.19565217391304,2.76086956521739,3.3,3.1304347826087,2.52173913043478,10143
10141,37,1,1,1,1,2,1,5,1,5,2,5,1,1,1,2.67567567567568,1.7027027027027,4.13513513513514,1.02702702702703,3.86486486486486,4.14285714285714,4.89189189189189,1.24324324324324,10141
10134,23,1,1,1,1,4,2,3,1,2,3,4,1,1,1.125,4.34782608695652,3.1304347826087,3,1.82608695652174,1.56521739130435,3.625,3.17391304347826,2.43478260869565,10134
10132,16,1,1,1,1,5,1,5,1,1,3,5,2,2,1,3,1.875,3.75,1.375,2.375,3.2,3.375,2.375,10132
10131,1,1,1,1,1,4,2,4,1,3,4,4,1,1,1,4,2,4,1,3,4,4,1,10131
10121,26,1,1,1,1,4,3,5,1,3,3,3,1,1,1.16,3.15384615384615,2.42307692307692,3.19230769230769,1.5,3.03846153846154,4.08,4.46153846153846,2.11538461538462,10121
10108,32,1,1,2,1,2,1,3,1,4,4,4,1,1,1.8,2.96875,2.40625,3.9375,1.46875,3,3.1,3.375,1.9375,10108
10112,41,1,1,2,3,4,3,5,3,2,3,3,3,1,2.21416666666667,3.375,2.9,3.8,3.25,2.3,4.205,3.775,2.325,10112
10129,49,1,1,1,1,4,2,3,2,2,2,2,2,1,2,3.6530612244898,2.95918367346939,3.02040816326531,2.53061224489796,2.55102040816327,3.475,3.55102040816327,3.26530612244898,10129
10110,12,1,1,1,1,3,4,3,2,3,3,4,2,1,1.59504132231405,2.81818181818182,2.81818181818182,3.27272727272727,1.45454545454545,3,3,3.36363636363636,2,10110
10123,34,1,1,1,1,2,3,2,1,3,3,4,3,1,1.5625,2.76470588235294,2.61764705882353,2.61764705882353,1.55882352941176,2.91176470588235,3.45161290322581,3.76470588235294,3.23529411764706,10123
95,29,1,1,1,1,1,5,3,1,5,4,2,4,1,2.66666666666667,3.17241379310345,4.24137931034483,2.27586206896552,2.3448275862069,2.75862068965517,3.18518518518519,2.24137931034483,4.06896551724138,95
94,45,1,1,1,1.23809523809524,4,1,3,2,1,4.09523809523809,4,2,1,1.23809523809524,3.57777777777778,1.68888888888889,3.4,1.33333333333333,2.48888888888889,4.09523809523809,4.37777777777778,1.93333333333333,94
86,46,1,1,1,1,3,3,4,1,4,3,4,2,1,1.44117647058824,3.30434782608696,2.93478260869565,2.84782608695652,1.5,2.47826086956522,2.94285714285714,3.58695652173913,2.54347826086957,86
97,48,1,1,1,1,3,1,5,1,4,5,4,1,1,1.31034482758621,3.22916666666667,1.8125,4.35416666666667,1.75,2.77083333333333,4.62068965517241,4.97916666666667,1.60416666666667,97
93,25,1,1,1,1,2,1,5,1,3,3,4,1,1,1,2.84,1.76,4.56,1,3.6,4.16666666666667,4.44,1.28,93
89,54,1,1,1,1.8,4,4,4,1,2,3.54,2,4,1,1.8,2.94444444444444,2.90740740740741,3.59259259259259,2.5,3.14814814814815,3.54,3.31481481481481,2.7037037037037,89
78,6,1,1,1,1,4,1,3,1,2,5,4,4,1,1.5,2.5,3,4,1.16666666666667,3.5,3.83333333333333,3.66666666666667,2,78
71,25,1,1,1,1,1,1,2,2,3,3,4,5,1,1.22727272727273,2.64,2,2.24,2.8,3,3.95454545454545,4.44,4.16,71
68,14,1,1,1,1,5,2,4,2,1,3,5,2,1,1,2.85714285714286,2.21428571428571,3.5,1.57142857142857,2.92857142857143,3.92857142857143,3.57142857142857,1.78571428571429,68
64,34,1,1,1,2,3,3,3,2,3,3,4,3,1,2.1875,2.76470588235294,2.64705882352941,2.97058823529412,1.97058823529412,3.05882352941176,2.9375,3.32352941176471,3.26470588235294,64
70,18,1,1,1,1,4,1,3,1,3,3,5,1,1,1.07692307692308,2.64705882352941,1.76470588235294,3.47058823529412,1.11764705882353,3.64705882352941,3.84615384615385,4.64705882352941,1.29411764705882,70
57,26,1,1,1,1,4,2,5,1,1,2,4,2,1,1.30434782608696,3.26923076923077,3.03846153846154,4.15384615384615,1.23076923076923,3.34615384615385,3.91304347826087,3.5,1.73076923076923,57
12,26,1,1,1,1,4,2,3,3,3,4,5,2,1,1.85,3.03846153846154,2.76923076923077,3.23076923076923,2.84615384615385,3.11538461538462,3.5,3.76923076923077,2.34615384615385,12
62,27,1,1,1,3,2,3,2,2,4,4,3,2,1,1.57894736842105,3.62962962962963,2.85185185185185,3.62962962962963,2,2.51851851851852,3.73684210526316,3.59259259259259,1.96296296296296,62
47,23,1,1,1,1,4,2,5,1,4,3,5,1,1,1.06666666666667,3.26086956521739,2.26086956521739,3.52173913043478,1.65217391304348,2.73913043478261,3.13333333333333,4,1.69565217391304,47
